,mod5_b,height,wind,diff_h
337,2,544,337,0.0
338,3,547,338,3.0
339,4,549,339,2.0
340,0,551,340,2.0
341,1,551,341,0.0
342,2,554,342,3.0
343,3,557,343,3.0
344,4,557,344,0.0
345,0,557,345,0.0
346,1,558,346,1.0
347,2,561,347,3.0
348,3,564,348,3.0
349,4,566,349,2.0
350,0,568,350,2.0
351,1,569,351,1.0
352,2,572,352,3.0
353,3,572,353,0.0
354,4,572,354,0.0
355,0,573,355,1.0
356,1,574,356,1.0
357,2,577,357,3.0
358,3,580,358,3.0
359,4,582,359,2.0
360,0,584,360,2.0
361,1,585,361,1.0
362,2,588,362,3.0
363,3,591,363,3.0
364,4,591,364,0.0
365,0,591,365,0.0
366,1,591,366,0.0
367,2,593,367,2.0
368,3,596,368,3.0
369,4,596,369,0.0
370,0,596,370,0.0
371,1,597,371,1.0
372,2,600,372,3.0
373,3,603,373,3.0
374,4,603,374,0.0
375,0,603,375,0.0
376,1,604,376,1.0
377,2,607,377,3.0
378,3,610,378,3.0
379,4,610,379,0.0
380,0,610,380,0.0
381,1,611,381,1.0
382,2,614,382,3.0
383,3,617,383,3.0
384,4,617,384,0.0
385,0,617,385,0.0
386,1,618,386,1.0
387,2,619,387,1.0
388,3,622,388,3.0
389,4,622,389,0.0
390,0,624,390,2.0
391,1,625,391,1.0
392,2,628,392,3.0
393,3,630,393,2.0
394,4,631,394,1.0
395,0,633,395,2.0
396,1,634,396,1.0
397,2,637,397,3.0
398,3,640,398,3.0
399,4,642,399,2.0
400,0,642,400,0.0
401,1,643,401,1.0
402,2,645,402,2.0
403,3,648,403,3.0
404,4,648,404,0.0
405,0,648,405,0.0
406,1,649,406,1.0
407,2,652,407,3.0
408,3,654,408,2.0
409,4,654,409,0.0
410,0,654,410,0.0
411,1,655,411,1.0
412,2,658,412,3.0
413,3,661,413,3.0
414,4,661,414,0.0
415,0,661,415,0.0
416,1,662,416,1.0
417,2,665,417,3.0
418,3,667,418,2.0
419,4,671,419,4.0
420,0,671,420,0.0
421,1,672,421,1.0
422,2,675,422,3.0
423,3,677,423,2.0
424,4,679,424,2.0
425,0,679,425,0.0
426,1,680,426,1.0
427,2,683,427,3.0
428,3,685,428,2.0
429,4,687,429,2.0
430,0,687,430,0.0
431,1,688,431,1.0
432,2,691,432,3.0
433,3,694,433,3.0
434,4,694,434,0.0
435,0,696,435,2.0
436,1,697,436,1.0
437,2,700,437,3.0
438,3,702,438,2.0
439,4,702,439,0.0
440,0,702,440,0.0
441,1,703,441,1.0
442,2,706,442,3.0
443,3,709,443,3.0
444,4,711,444,2.0
445,0,711,445,0.0
446,1,712,446,1.0
447,2,712,447,0.0
448,3,715,448,3.0
449,4,719,449,4.0
450,0,719,450,0.0
451,1,720,451,1.0
452,2,722,452,2.0
453,3,724,453,2.0
454,4,728,454,4.0
455,0,728,455,0.0
456,1,729,456,1.0
457,2,732,457,3.0
458,3,732,458,0.0
459,4,736,459,4.0
460,0,736,460,0.0
461,1,737,461,1.0
462,2,739,462,2.0
463,3,742,463,3.0
464,4,744,464,2.0
465,0,744,465,0.0
466,1,745,466,1.0
467,2,747,467,2.0
468,3,750,468,3.0
469,4,752,469,2.0
470,0,752,470,0.0
471,1,753,471,1.0
472,2,756,472,3.0
473,3,759,473,3.0
474,4,763,474,4.0
475,0,763,475,0.0
476,1,764,476,1.0
477,2,767,477,3.0
478,3,770,478,3.0
479,4,770,479,0.0
480,0,772,480,2.0
481,1,772,481,0.0
482,2,772,482,0.0
483,3,775,483,3.0
484,4,776,484,1.0
485,0,776,485,0.0
486,1,776,486,0.0
487,2,779,487,3.0
488,3,781,488,2.0
489,4,782,489,1.0
490,0,783,490,1.0
491,1,784,491,1.0
492,2,787,492,3.0
493,3,790,493,3.0
494,4,792,494,2.0
495,0,792,495,0.0
496,1,793,496,1.0
497,2,795,497,2.0
498,3,796,498,1.0
499,4,798,499,2.0
500,0,798,500,0.0
501,1,799,501,1.0
502,2,802,502,3.0
503,3,805,503,3.0
504,4,805,504,0.0
505,0,805,505,0.0
506,1,806,506,1.0
507,2,809,507,3.0
508,3,812,508,3.0
509,4,814,509,2.0
510,0,816,510,2.0
511,1,817,511,1.0
512,2,820,512,3.0
513,3,822,513,2.0
514,4,826,514,4.0
515,0,828,515,2.0
516,1,829,516,1.0
517,2,831,517,2.0
518,3,834,518,3.0
519,4,836,519,2.0
520,0,838,520,2.0
521,1,839,521,1.0
522,2,842,522,3.0
523,3,844,523,2.0
524,4,848,524,4.0
525,0,850,525,2.0
526,1,851,526,1.0
527,2,853,527,2.0
528,3,855,528,2.0
529,4,857,529,2.0
530,0,857,530,0.0
531,1,858,531,1.0
532,2,860,532,2.0
533,3,863,533,3.0
534,4,863,534,0.0
535,0,863,535,0.0
536,1,864,536,1.0
537,2,867,537,3.0
538,3,870,538,3.0
539,4,870,539,0.0
540,0,872,540,2.0
541,1,873,541,1.0
542,2,875,542,2.0
543,3,876,543,1.0
544,4,879,544,3.0
545,0,879,545,0.0
546,1,880,546,1.0
547,2,883,547,3.0
548,3,885,548,2.0
549,4,885,549,0.0
550,0,885,550,0.0
551,1,886,551,1.0
552,2,888,552,2.0
553,3,889,553,1.0
554,4,891,554,2.0
555,0,891,555,0.0
556,1,891,556,0.0
557,2,894,557,3.0
558,3,897,558,3.0
559,4,899,559,2.0
560,0,901,560,2.0
561,1,902,561,1.0
562,2,904,562,2.0
563,3,907,563,3.0
564,4,907,564,0.0
565,0,907,565,0.0
566,1,908,566,1.0
567,2,911,567,3.0
568,3,913,568,2.0
569,4,915,569,2.0
570,0,915,570,0.0
571,1,916,571,1.0
572,2,918,572,2.0
573,3,921,573,3.0
574,4,921,574,0.0
575,0,921,575,0.0
576,1,922,576,1.0
577,2,925,577,3.0
578,3,927,578,2.0
579,4,928,579,1.0
580,0,930,580,2.0
581,1,931,581,1.0
582,2,934,582,3.0
583,3,937,583,3.0
584,4,939,584,2.0
585,0,941,585,2.0
586,1,942,586,1.0
587,2,944,587,2.0
588,3,947,588,3.0
589,4,951,589,4.0
590,0,953,590,2.0
591,1,954,591,1.0
592,2,957,592,3.0
593,3,959,593,2.0
594,4,961,594,2.0
595,0,963,595,2.0
596,1,964,596,1.0
597,2,967,597,3.0
598,3,969,598,2.0
599,4,971,599,2.0
600,0,971,600,0.0
601,1,972,601,1.0
602,2,975,602,3.0
603,3,977,603,2.0
604,4,981,604,4.0
605,0,981,605,0.0
606,1,982,606,1.0
607,2,985,607,3.0
608,3,988,608,3.0
609,4,992,609,4.0
610,0,992,610,0.0
611,1,993,611,1.0
612,2,995,612,2.0
613,3,998,613,3.0
614,4,1000,614,2.0
615,0,1000,615,0.0
616,1,1001,616,1.0
617,2,1004,617,3.0
618,3,1007,618,3.0
619,4,1011,619,4.0
620,0,1011,620,0.0
621,1,1012,621,1.0
622,2,1014,622,2.0
623,3,1016,623,2.0
624,4,1016,624,0.0
625,0,1016,625,0.0
626,1,1017,626,1.0
627,2,1020,627,3.0
628,3,1022,628,2.0
629,4,1026,629,4.0
630,0,1028,630,2.0
631,1,1029,631,1.0
632,2,1030,632,1.0
633,3,1032,633,2.0
634,4,1033,634,1.0
635,0,1033,635,0.0
636,1,1034,636,1.0
637,2,1037,637,3.0
638,3,1039,638,2.0
639,4,1039,639,0.0
640,0,1039,640,0.0
641,1,1040,641,1.0
642,2,1043,642,3.0
643,3,1045,643,2.0
644,4,1045,644,0.0
645,0,1045,645,0.0
646,1,1045,646,0.0
647,2,1047,647,2.0
648,3,1050,648,3.0
649,4,1050,649,0.0
650,0,1050,650,0.0
651,1,1051,651,1.0
652,2,1054,652,3.0
653,3,1054,653,0.0
654,4,1056,654,2.0
655,0,1056,655,0.0
656,1,1057,656,1.0
657,2,1059,657,2.0
658,3,1061,658,2.0
659,4,1061,659,0.0
660,0,1063,660,2.0
661,1,1063,661,0.0
662,2,1065,662,2.0
663,3,1065,663,0.0
664,4,1067,664,2.0
665,0,1067,665,0.0
666,1,1068,666,1.0
667,2,1070,667,2.0
668,3,1072,668,2.0
669,4,1074,669,2.0
670,0,1074,670,0.0
671,1,1075,671,1.0
672,2,1078,672,3.0
673,3,1081,673,3.0
674,4,1085,674,4.0
675,0,1087,675,2.0
676,1,1087,676,0.0
677,2,1087,677,0.0
678,3,1090,678,3.0
679,4,1092,679,2.0
680,0,1094,680,2.0
681,1,1095,681,1.0
682,2,1098,682,3.0
683,3,1100,683,2.0
684,4,1100,684,0.0
685,0,1100,685,0.0
686,1,1100,686,0.0
687,2,1103,687,3.0
688,3,1105,688,2.0
689,4,1107,689,2.0
690,0,1109,690,2.0
691,1,1110,691,1.0
692,2,1113,692,3.0
693,3,1113,693,0.0
694,4,1116,694,3.0
695,0,1116,695,0.0
696,1,1117,696,1.0
697,2,1119,697,2.0
698,3,1122,698,3.0
699,4,1122,699,0.0
700,0,1124,700,2.0
701,1,1125,701,1.0
702,2,1127,702,2.0
703,3,1129,703,2.0
704,4,1130,704,1.0
705,0,1131,705,1.0
706,1,1132,706,1.0
707,2,1135,707,3.0
708,3,1137,708,2.0
709,4,1138,709,1.0
710,0,1140,710,2.0
711,1,1141,711,1.0
712,2,1142,712,1.0
713,3,1144,713,2.0
714,4,1145,714,1.0
715,0,1147,715,2.0
716,1,1148,716,1.0
717,2,1151,717,3.0
718,3,1153,718,2.0
719,4,1155,719,2.0
720,0,1155,720,0.0
721,1,1156,721,1.0
722,2,1158,722,2.0
723,3,1161,723,3.0
724,4,1161,724,0.0
725,0,1161,725,0.0
726,1,1162,726,1.0
727,2,1164,727,2.0
728,3,1166,728,2.0
729,4,1170,729,4.0
730,0,1170,730,0.0
731,1,1170,731,0.0
732,2,1170,732,0.0
733,3,1173,733,3.0
734,4,1177,734,4.0
735,0,1179,735,2.0
736,1,1180,736,1.0
737,2,1183,737,3.0
738,3,1186,738,3.0
739,4,1188,739,2.0
740,0,1190,740,2.0
741,1,1191,741,1.0
742,2,1194,742,3.0
743,3,1197,743,3.0
744,4,1199,744,2.0
745,0,1199,745,0.0
746,1,1199,746,0.0
747,2,1201,747,2.0
748,3,1204,748,3.0
749,4,1204,749,0.0
750,0,1204,750,0.0
751,1,1205,751,1.0
752,2,1207,752,2.0
753,3,1208,753,1.0
754,4,1210,754,2.0
755,0,1210,755,0.0
756,1,1211,756,1.0
757,2,1213,757,2.0
758,3,1216,758,3.0
759,4,1218,759,2.0
760,0,1218,760,0.0
761,1,1219,761,1.0
762,2,1222,762,3.0
763,3,1224,763,2.0
764,4,1225,764,1.0
765,0,1225,765,0.0
766,1,1226,766,1.0
767,2,1229,767,3.0
768,3,1232,768,3.0
769,4,1234,769,2.0
770,0,1236,770,2.0
771,1,1237,771,1.0
772,2,1240,772,3.0
773,3,1243,773,3.0
774,4,1245,774,2.0
775,0,1247,775,2.0
776,1,1248,776,1.0
777,2,1251,777,3.0
778,3,1254,778,3.0
779,4,1254,779,0.0
780,0,1254,780,0.0
781,1,1254,781,0.0
782,2,1256,782,2.0
783,3,1259,783,3.0
784,4,1261,784,2.0
785,0,1261,785,0.0
786,1,1261,786,0.0
787,2,1263,787,2.0
788,3,1266,788,3.0
789,4,1268,789,2.0
790,0,1268,790,0.0
791,1,1268,791,0.0
792,2,1270,792,2.0
793,3,1273,793,3.0
794,4,1273,794,0.0
795,0,1273,795,0.0
796,1,1273,796,0.0
797,2,1276,797,3.0
798,3,1278,798,2.0
799,4,1282,799,4.0
800,0,1284,800,2.0
801,1,1285,801,1.0
802,2,1285,802,0.0
803,3,1288,803,3.0
804,4,1290,804,2.0
805,0,1290,805,0.0
806,1,1291,806,1.0
807,2,1294,807,3.0
808,3,1297,808,3.0
809,4,1297,809,0.0
810,0,1297,810,0.0
811,1,1297,811,0.0
812,2,1299,812,2.0
813,3,1301,813,2.0
814,4,1303,814,2.0
815,0,1303,815,0.0
816,1,1303,816,0.0
817,2,1305,817,2.0
818,3,1307,818,2.0
819,4,1308,819,1.0
820,0,1308,820,0.0
821,1,1308,821,0.0
822,2,1310,822,2.0
823,3,1313,823,3.0
824,4,1313,824,0.0
825,0,1315,825,2.0
826,1,1316,826,1.0
827,2,1317,827,1.0
828,3,1319,828,2.0
829,4,1321,829,2.0
830,0,1321,830,0.0
831,1,1322,831,1.0
832,2,1325,832,3.0
833,3,1327,833,2.0
834,4,1331,834,4.0
835,0,1331,835,0.0
836,1,1332,836,1.0
837,2,1335,837,3.0
838,3,1338,838,3.0
839,4,1342,839,4.0
840,0,1344,840,2.0
841,1,1345,841,1.0
842,2,1345,842,0.0
843,3,1348,843,3.0
844,4,1348,844,0.0
845,0,1348,845,0.0
846,1,1349,846,1.0
847,2,1352,847,3.0
848,3,1354,848,2.0
849,4,1355,849,1.0
850,0,1356,850,1.0
851,1,1357,851,1.0
852,2,1360,852,3.0
853,3,1363,853,3.0
854,4,1365,854,2.0
855,0,1365,855,0.0
856,1,1365,856,0.0
857,2,1367,857,2.0
858,3,1370,858,3.0
859,4,1370,859,0.0
860,0,1370,860,0.0
861,1,1371,861,1.0
862,2,1374,862,3.0
863,3,1374,863,0.0
864,4,1377,864,3.0
865,0,1377,865,0.0
866,1,1378,866,1.0
867,2,1380,867,2.0
868,3,1382,868,2.0
869,4,1384,869,2.0
870,0,1384,870,0.0
871,1,1385,871,1.0
872,2,1385,872,0.0
873,3,1387,873,2.0
874,4,1391,874,4.0
875,0,1391,875,0.0
876,1,1391,876,0.0
877,2,1391,877,0.0
878,3,1394,878,3.0
879,4,1394,879,0.0
880,0,1394,880,0.0
881,1,1395,881,1.0
882,2,1398,882,3.0
883,3,1398,883,0.0
884,4,1401,884,3.0
885,0,1403,885,2.0
886,1,1404,886,1.0
887,2,1406,887,2.0
888,3,1407,888,1.0
889,4,1410,889,3.0
890,0,1412,890,2.0
891,1,1412,891,0.0
892,2,1414,892,2.0
893,3,1417,893,3.0
894,4,1419,894,2.0
895,0,1421,895,2.0
896,1,1422,896,1.0
897,2,1425,897,3.0
898,3,1428,898,3.0
899,4,1430,899,2.0
900,0,1430,900,0.0
901,1,1431,901,1.0
902,2,1434,902,3.0
903,3,1437,903,3.0
904,4,1437,904,0.0
905,0,1439,905,2.0
906,1,1439,906,0.0
907,2,1442,907,3.0
908,3,1444,908,2.0
909,4,1446,909,2.0
910,0,1448,910,2.0
911,1,1449,911,1.0
912,2,1452,912,3.0
913,3,1455,913,3.0
914,4,1457,914,2.0
915,0,1459,915,2.0
916,1,1460,916,1.0
917,2,1462,917,2.0
918,3,1465,918,3.0
919,4,1467,919,2.0
920,0,1467,920,0.0
921,1,1467,921,0.0
922,2,1469,922,2.0
923,3,1471,923,2.0
924,4,1475,924,4.0
925,0,1475,925,0.0
926,1,1476,926,1.0
927,2,1479,927,3.0
928,3,1482,928,3.0
929,4,1482,929,0.0
930,0,1482,930,0.0
931,1,1483,931,1.0
932,2,1486,932,3.0
933,3,1486,933,0.0
934,4,1490,934,4.0
935,0,1490,935,0.0
936,1,1490,936,0.0
937,2,1492,937,2.0
938,3,1492,938,0.0
939,4,1492,939,0.0
940,0,1494,940,2.0
941,1,1494,941,0.0
942,2,1496,942,2.0
943,3,1498,943,2.0
944,4,1498,944,0.0
945,0,1500,945,2.0
946,1,1501,946,1.0
947,2,1504,947,3.0
948,3,1507,948,3.0
949,4,1507,949,0.0
950,0,1507,950,0.0
951,1,1508,951,1.0
952,2,1511,952,3.0
953,3,1513,953,2.0
954,4,1515,954,2.0
955,0,1517,955,2.0
956,1,1518,956,1.0
957,2,1521,957,3.0
958,3,1524,958,3.0
959,4,1526,959,2.0
960,0,1526,960,0.0
961,1,1527,961,1.0
962,2,1529,962,2.0
963,3,1532,963,3.0
964,4,1532,964,0.0
965,0,1532,965,0.0
966,1,1533,966,1.0
967,2,1536,967,3.0
968,3,1538,968,2.0
969,4,1540,969,2.0
970,0,1540,970,0.0
971,1,1540,971,0.0
972,2,1542,972,2.0
973,3,1544,973,2.0
974,4,1544,974,0.0
975,0,1546,975,2.0
976,1,1547,976,1.0
977,2,1549,977,2.0
978,3,1552,978,3.0
979,4,1554,979,2.0
980,0,1554,980,0.0
981,1,1555,981,1.0
982,2,1558,982,3.0
983,3,1561,983,3.0
984,4,1561,984,0.0
985,0,1561,985,0.0
986,1,1562,986,1.0
987,2,1565,987,3.0
988,3,1567,988,2.0
989,4,1569,989,2.0
990,0,1571,990,2.0
991,1,1572,991,1.0
992,2,1574,992,2.0
993,3,1576,993,2.0
994,4,1578,994,2.0
995,0,1578,995,0.0
996,1,1578,996,0.0
997,2,1580,997,2.0
998,3,1583,998,3.0
999,4,1587,999,4.0
1000,0,1587,1000,0.0
1001,1,1587,1001,0.0
1002,2,1587,1002,0.0
1003,3,1590,1003,3.0
1004,4,1592,1004,2.0
1005,0,1592,1005,0.0
1006,1,1593,1006,1.0
1007,2,1593,1007,0.0
1008,3,1596,1008,3.0
1009,4,1598,1009,2.0
1010,0,1598,1010,0.0
1011,1,1599,1011,1.0
1012,2,1599,1012,0.0
1013,3,1601,1013,2.0
1014,4,1603,1014,2.0
1015,0,1603,1015,0.0
1016,1,1604,1016,1.0
1017,2,1606,1017,2.0
1018,3,1609,1018,3.0
1019,4,1613,1019,4.0
1020,0,1613,1020,0.0
1021,1,1613,1021,0.0
1022,2,1615,1022,2.0
1023,3,1615,1023,0.0
1024,4,1615,1024,0.0
1025,0,1615,1025,0.0
1026,1,1615,1026,0.0
1027,2,1618,1027,3.0
1028,3,1621,1028,3.0
1029,4,1623,1029,2.0
1030,0,1625,1030,2.0
1031,1,1625,1031,0.0
1032,2,1627,1032,2.0
1033,3,1630,1033,3.0
1034,4,1630,1034,0.0
1035,0,1630,1035,0.0
1036,1,1631,1036,1.0
1037,2,1634,1037,3.0
1038,3,1636,1038,2.0
1039,4,1640,1039,4.0
1040,0,1640,1040,0.0
1041,1,1641,1041,1.0
1042,2,1644,1042,3.0
1043,3,1646,1043,2.0
1044,4,1650,1044,4.0
1045,0,1650,1045,0.0
1046,1,1650,1046,0.0
1047,2,1652,1047,2.0
1048,3,1652,1048,0.0
1049,4,1652,1049,0.0
1050,0,1654,1050,2.0
1051,1,1655,1051,1.0
1052,2,1658,1052,3.0
1053,3,1661,1053,3.0
1054,4,1661,1054,0.0
1055,0,1663,1055,2.0
1056,1,1663,1056,0.0
1057,2,1665,1057,2.0
1058,3,1668,1058,3.0
1059,4,1672,1059,4.0
1060,0,1672,1060,0.0
1061,1,1672,1061,0.0
1062,2,1674,1062,2.0
1063,3,1676,1063,2.0
1064,4,1680,1064,4.0
1065,0,1682,1065,2.0
1066,1,1683,1066,1.0
1067,2,1686,1067,3.0
1068,3,1688,1068,2.0
1069,4,1690,1069,2.0
1070,0,1692,1070,2.0
1071,1,1693,1071,1.0
1072,2,1696,1072,3.0
1073,3,1698,1073,2.0
1074,4,1698,1074,0.0
1075,0,1698,1075,0.0
1076,1,1699,1076,1.0
1077,2,1702,1077,3.0
1078,3,1704,1078,2.0
1079,4,1706,1079,2.0
1080,0,1708,1080,2.0
1081,1,1709,1081,1.0
1082,2,1712,1082,3.0
1083,3,1714,1083,2.0
1084,4,1718,1084,4.0
1085,0,1718,1085,0.0
1086,1,1719,1086,1.0
1087,2,1722,1087,3.0
1088,3,1724,1088,2.0
1089,4,1724,1089,0.0
1090,0,1724,1090,0.0
1091,1,1725,1091,1.0
1092,2,1728,1092,3.0
1093,3,1730,1093,2.0
1094,4,1732,1094,2.0
1095,0,1732,1095,0.0
1096,1,1733,1096,1.0
1097,2,1736,1097,3.0
1098,3,1738,1098,2.0
1099,4,1739,1099,1.0
1100,0,1741,1100,2.0
1101,1,1742,1101,1.0
1102,2,1745,1102,3.0
1103,3,1747,1103,2.0
1104,4,1747,1104,0.0
